model,status,term,coefficient,std_error,p_value,ci_95_low,ci_95_high,effect_pct,effect_ci_95_low_pct,effect_ci_95_high_pct,n_observations,outcome_transform,covariance,note
did_2025_classic,estimated,post,-0.20847183088713678,0.10700636858950087,0.05138877495412111,-0.41820045943897655,0.0012567976647030188,-18.817609726040256,-34.17697332712006,0.1257587765852444,365,log(casual rides) - log(member rides),HAC(7),
historical_pretrend_2024_classic,estimated,trend_week,0.030785294763014597,0.003783125105102568,4.0342280870571556e-16,0.023370505808004257,0.03820008371802494,3.1264062320146424,2.36457359861598,3.8939086879007876,425,log(casual rides) - log(member rides),"HAC-panel(7), panel=year",2024 Jan 1-Jul 31 historical same-calendar-period slope.
pretrend_2025_classic,estimated,trend_week + year2025_trend_week,0.03684018659798989,0.004621519603813528,1.568304406158397e-15,0.027782174620669557,0.045898198575310224,3.7527196837056582,2.817169813719846,4.696782271565502,425,log(casual rides) - log(member rides),"HAC-panel(7), panel=year",2025 Jan 1-Jul 31 pre-policy slope.
pretrend_difference_2025_vs_2024_classic,estimated,year2025_trend_week,0.006054891834975293,0.0059724767901841854,0.31067860564598937,-0.005650947572287095,0.01776073124223768,0.607325974573313,-0.5635011001095102,1.7919390941589286,425,log(casual rides) - log(member rides),"HAC-panel(7), panel=year",Year2025 x Time; 2025 pre-policy slope minus 2024 historical slope.
ddd_2024_2025_classic,estimated,year2025_post,-0.1863981916310733,0.1351029854377377,0.16768677880813165,-0.45119517729287856,0.07839879403073197,-17.00569472011573,-36.3133471838151,8.155388991335755,731,log(casual rides) - log(member rides),HAC(7),
