year,date,month,weekday,member_casual,rideable_type,ride_count,mean_duration_min,median_duration_min
2024,2024-01-18,1,4,casual,electric_bike,965,11.438445595854922,8.916666666666666
2024,2024-01-18,1,4,member,classic_bike,2778,12.457667386609073,8.183333333333334
2024,2024-01-18,1,4,member,electric_bike,2661,11.388550670174121,8.383333333333333
2024,2024-01-19,1,5,casual,classic_bike,180,20.237222222222222,9.966666666666667
2024,2024-01-19,1,5,casual,electric_bike,352,12.523626893939394,8.625
2024,2024-01-19,1,5,member,classic_bike,944,12.8027895480226,9.125
2024,2024-01-19,1,5,member,electric_bike,1102,12.58983666061706,8.616666666666667
2024,2024-01-20,1,6,casual,classic_bike,337,16.394460929772503,10.333333333333334
2024,2024-01-20,1,6,casual,electric_bike,545,10.97850152905199,8.5
2024,2024-01-20,1,6,member,classic_bike,1338,11.293285999003487,8.191666666666666
2024,2024-01-20,1,6,member,electric_bike,1574,10.866391359593393,7.616666666666666
2024,2024-01-21,1,7,casual,classic_bike,391,21.399573742540497,10.266666666666667
2024,2024-01-21,1,7,casual,electric_bike,552,14.157669082125604,9.025
2024,2024-01-21,1,7,member,classic_bike,1497,14.05921843687375,7.983333333333333
2024,2024-01-21,1,7,member,electric_bike,1722,11.507171893147502,7.633333333333334
2024,2024-01-22,1,1,casual,classic_bike,483,15.706590752242928,10.583333333333334
2024,2024-01-22,1,1,casual,electric_bike,845,11.760848126232741,8.5
2024,2024-01-22,1,1,member,classic_bike,2767,16.34662691242019,8.2
2024,2024-01-22,1,1,member,electric_bike,2588,11.120942812982998,8.1
2024,2024-01-23,1,2,casual,classic_bike,753,16.500177069499777,11.05
2024,2024-01-23,1,2,casual,electric_bike,1090,11.524373088685016,9.233333333333333
2024,2024-01-23,1,2,member,classic_bike,3822,11.821302110587826,8.616666666666667
2024,2024-01-23,1,2,member,electric_bike,3388,11.23345631641086,8.35
2024,2024-01-24,1,3,casual,classic_bike,949,15.353424657534246,10.6
2024,2024-01-24,1,3,casual,electric_bike,1448,11.555398250460405,8.666666666666666
2024,2024-01-24,1,3,member,classic_bike,4289,10.966324706613818,8.15
2024,2024-01-24,1,3,member,electric_bike,3785,10.69071774548657,8.3
2024,2024-01-25,1,4,casual,classic_bike,887,18.746655392709506,11.3
2024,2024-01-25,1,4,casual,electric_bike,1302,12.762864823348695,9.4
2024,2024-01-25,1,4,member,classic_bike,3714,12.147724824986538,8.333333333333334
2024,2024-01-25,1,4,member,electric_bike,3714,10.975668641177526,8.666666666666666
2024,2024-01-26,1,5,casual,classic_bike,2194,29.073883318140382,15.75
2024,2024-01-26,1,5,casual,electric_bike,2265,16.422369389256804,10.583333333333334
2024,2024-01-26,1,5,member,classic_bike,4940,13.208225371120108,9.15
2024,2024-01-26,1,5,member,electric_bike,4578,12.192372943061017,8.891666666666666
2024,2024-01-27,1,6,casual,classic_bike,2672,28.810909431137723,16.683333333333334
2024,2024-01-27,1,6,casual,electric_bike,2057,16.994433641225086,10.933333333333334
2024,2024-01-27,1,6,member,classic_bike,4224,12.502971117424243,8.75
2024,2024-01-27,1,6,member,electric_bike,3593,11.959931347991464,8.866666666666667
2024,2024-01-28,1,7,casual,classic_bike,779,20.947240051347883,11.616666666666667
2024,2024-01-28,1,7,casual,electric_bike,1087,12.46600735970561,8.85
2024,2024-01-28,1,7,member,classic_bike,2208,11.377860809178744,7.733333333333333
2024,2024-01-28,1,7,member,electric_bike,2343,10.404332052923602,7.766666666666667
2024,2024-01-29,1,1,casual,classic_bike,770,26.95978354978355,11.508333333333333
2024,2024-01-29,1,1,casual,electric_bike,1165,12.319728183118741,9.016666666666667
2024,2024-01-29,1,1,member,classic_bike,3893,12.495628906584466,8.316666666666666
2024,2024-01-29,1,1,member,electric_bike,3779,10.071919379024433,7.766666666666667
2024,2024-01-30,1,2,casual,classic_bike,850,18.32307843137255,9.916666666666666
2024,2024-01-30,1,2,casual,electric_bike,1296,11.41301440329218,8.6
2024,2024-01-30,1,2,member,classic_bike,4167,10.841692664586834,8.3
2024,2024-01-30,1,2,member,electric_bike,4148,10.468293956927033,8.016666666666667
