station_key,station_name,lat,lng,departures,arrivals,total_usage,balance_gap,imbalance_rate
31268,12th & U St NW,38.916787,-77.028139,10357,9713,20070,644,0.032087693074240156
31019,Wilson Blvd & N Edgewood St,38.889396070923496,-77.09186241030693,4971,4330,9301,641,0.06891732071820235
31124,14th & Irving St NW,38.928552,-77.032224,27387,26747,54134,640,0.011822514501052943
31401,14th & Quincy St NW,38.938024,-77.032688,15426,14797,30223,629,0.02081196439797505
31110,20th St & Florida Ave NW,38.9154,-77.0446,12112,11521,23633,591,0.025007404899928067
31619,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355,18444,17861,36305,583,0.016058394160583942
31028,N Veitch St & Key Blvd,38.893237,-77.086063,2023,1445,3468,578,0.16666666666666666
31122,16th & Irving St NW,38.928893,-77.03625,13052,12475,25527,577,0.022603517843851607
31021,Clarendon Blvd & N Fillmore St,38.8881,-77.09308,4121,3553,7674,568,0.07401615845712796
31316,Yuma St & Tenley Circle NW,38.946182,-77.08059,1233,681,1914,552,0.2884012539184953
31623,Columbus Circle / Union Station,38.89696,-77.00493,53861,53320,107181,541,0.005047536410371241
31241,Thomas Circle,38.9059,-77.0325,17878,17367,35245,511,0.014498510427010924
31207,Georgia Ave & Fairmont St NW,38.92478458526696,-77.02232748270035,7116,6611,13727,505,0.036788810373716035
31039,Wilson Blvd & N Quincy St,38.880012,-77.107854,5783,5281,11064,502,0.045372378886478666
31310,Connecticut & Nebraska Ave NW,38.955016,-77.069956,4939,4467,9406,472,0.050180735700616624
31311,13th & O St NW/ Logan Circle,38.908735,-77.029779,19766,19298,39064,468,0.01198033995494573
31305,Connecticut Ave & Macomb St NW / Cleveland Park,38.933670282,-77.057640195,5068,4602,9670,466,0.048190279214064116
31313,Connecticut Ave & Tilden St NW,38.94113915653008,-77.061977237463,3751,3294,7045,457,0.06486870120652945
31286,11th & O St NW,38.90843146089006,-77.02708840370178,16028,15579,31607,449,0.01420571392413073
31505,Eckington Pl & Q St NE,38.91066,-77.004615,18302,17880,36182,422,0.011663257973578022
31391,44th St & New Mexico Ave NW,38.933899,-77.086263,3295,2876,6171,419,0.06789823367363475
31400,Georgia & New Hampshire Ave NW,38.9366839345886,-77.02418088912964,12235,11817,24052,418,0.017379012140362547
31522,2nd St & Seaton Pl NE,38.91475110883116,-77.00356006622314,7034,6621,13655,413,0.030245331380446723
31038,Glebe Rd & 11th St N,38.883921,-77.116817,3151,2752,5903,399,0.0675927494494325
31420,17th & Upshur St NW,38.942146,-77.038684,2327,1940,4267,387,0.09069603937192407
32140,18th St & Belmont Rd NW,38.920925,-77.042071,7432,7047,14479,385,0.02659023413219145
32399,16th & Pine St NW,38.930882931,-77.036236882,3496,3113,6609,383,0.05795127855954002
31034,Fairfax Dr & N Randolph St,38.882629,-77.109366,3618,3236,6854,382,0.05573387802742924
31260,23rd & E St NW ,38.896104,-77.049882,7667,7289,14956,378,0.02527413746991174
31417,Kansas Ave & Sherman Cr NW,38.94796174822241,-77.02154964208603,5481,5106,10587,375,0.03542079909322755
31223,Convention Center / 7th & M St NW,38.905737,-77.02227,17211,16838,34049,373,0.010954800434667684
31534,7th & Monroe St NE,38.932242581555066,-76.9961330294609,8354,7983,16337,371,0.022709187733365978
31324,18th & New Hampshire Ave NW,38.911268,-77.041829,25861,25492,51353,369,0.00718555877942866
31298,15th & M St NW,38.905424,-77.034674,12686,12319,25005,367,0.014677064587082584
