year,period,period_label,ride_count,mean_duration_min,median_duration_min,p25_duration_min,p75_duration_min
2024,pre,2024 Jan 1-Jul 31 historical early period,566148,28.418868549154396,15.983333333333333,9.0,31.1
2024,post,2024 Aug 1-Dec 31 historical later period,377047,27.66947944142242,15.885366666666666,8.939408333333333,30.521449999999998
2025,pre,2025 Jan 1-Jul 31 pre-policy,511765,27.414292735011838,15.455566666666666,8.663983333333334,29.97955
2025,post,2025 Aug 1-Dec 31 post-policy,259182,26.508700141342118,15.410233333333334,8.5938625,29.799295833333332
